# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
   157.750    56.111    46.964    56.161    73.210   0.000E+00    37.294    21.248    19.061
   158.000    56.067    46.964    56.116    73.176   0.000E+00    37.294    21.248    19.061
   158.250    56.022    46.964    56.072    73.142   0.000E+00    37.294    21.248    19.061
   158.500    55.978    46.964    56.028    73.108   0.000E+00    37.294    21.248    19.061
   158.750    55.934    46.964    55.984    73.074   0.000E+00    37.294    21.248    19.061
   159.000    55.890    46.964    55.940    73.040   0.000E+00    37.294    21.248    19.061
   159.250    55.846    46.964    55.896    73.007   0.000E+00    37.294    21.248    19.061
   159.500    55.802    46.964    55.852    72.973   0.000E+00    37.294    21.248    19.061
   159.750    55.759    46.964    55.808    72.940   0.000E+00    37.294    21.248    19.061
   160.000    55.715    46.964    55.765    72.906   0.000E+00    37.294    21.248    19.061
   160.250    55.672    46.964    55.721    72.873   0.000E+00    37.294    21.248    19.061
   160.500    55.628    46.964    55.678    72.840   0.000E+00    37.294    21.248    19.061
   160.750    55.585    46.964    55.634    72.807   0.000E+00    37.294    21.248    19.061
   161.000    55.542    46.964    55.591    72.774   0.000E+00    37.294    21.248    19.061
   161.250    55.499    46.964    55.548    72.741   0.000E+00    37.294    21.248    19.061
   161.500    55.456    46.964    55.505    72.708   0.000E+00    37.294    21.248    19.061
   161.750    55.413    46.964    55.462    72.675   0.000E+00    37.294    21.248    19.061
   162.000    55.370    46.964    55.419    72.642   0.000E+00    37.294    21.248    19.061
   162.250    55.327    46.964    55.377    72.610   0.000E+00    37.294    21.248    19.061
   162.500    55.285    46.964    55.334    72.577   0.000E+00    37.294    21.248    19.061
   162.750    55.242    46.964    55.291    72.545   0.000E+00    37.294    21.248    19.061
   163.000    55.200    46.964    55.249    72.513   0.000E+00    37.294    21.248    19.061
   163.250    55.158    46.964    55.207    72.480   0.000E+00    37.294    21.248    19.061
   163.500    55.115    46.964    55.165    72.448   0.000E+00    37.294    21.248    19.061
   163.750    55.073    46.964    55.122    72.416   0.000E+00    37.294    21.248    19.061
   164.000    55.031    46.964    55.080    72.384   0.000E+00    37.294    21.248    19.061
   164.250    54.990    46.964    55.038    72.352   0.000E+00    37.294    21.248    19.061
   164.500    54.948    46.964    54.997    72.320   0.000E+00    37.294    21.248    19.061
   164.750    54.906    46.964    54.955    72.289   0.000E+00    37.294    21.248    19.061
   165.000    54.864    46.964    54.913    72.257   0.000E+00    37.294    21.248    19.061
   165.250    54.823    46.964    54.872    72.226   0.000E+00    37.294    21.248    19.061
   165.500    54.781    46.964    54.830    72.194   0.000E+00    37.294    21.248    19.061
   165.750    54.740    46.964    54.789    72.163   0.000E+00    37.294    21.248    19.061
   166.000    54.699    46.964    54.748    72.131   0.000E+00    37.294    21.248    19.061
   166.250    54.658    46.964    54.706    72.100   0.000E+00    37.294    21.248    19.061
   166.500    54.617    46.964    54.665    72.069   0.000E+00    37.294    21.248    19.061
   166.750    54.576    46.964    54.624    72.038   0.000E+00    37.294    21.248    19.061
   167.000    54.535    46.964    54.583    72.007   0.000E+00    37.294    21.248    19.061
   167.250    54.494    46.964    54.543    71.976   0.000E+00    37.294    21.248    19.061
   167.500    54.453    46.964    54.502    71.945   0.000E+00    37.294    21.248    19.061
   167.750    54.413    46.964    54.461    71.914   0.000E+00    37.294    21.248    19.061
   168.000    54.372    46.964    54.421    71.884   0.000E+00    37.294    21.248    19.061
   168.250    54.332    46.964    54.380    71.853   0.000E+00    37.294    21.248    19.061
   168.500    54.292    46.964    54.340    71.822   0.000E+00    37.294    21.248    19.061
   168.750    54.251    46.964    54.300    71.792   0.000E+00    37.294    21.248    19.061
   169.000    54.211    46.964    54.259    71.762   0.000E+00    37.294    21.248    19.061
   169.250    54.171    46.964    54.219    71.731   0.000E+00    37.294    21.248    19.061
   169.500    54.131    46.964    54.179    71.701   0.000E+00    37.294    21.248    19.061
   169.750    54.091    46.964    54.139    71.671   0.000E+00    37.294    21.248    19.061
   170.000    54.052    46.964    54.100    71.641   0.000E+00    37.294    21.248    19.061
   170.250    54.012    46.964    54.060    71.611   0.000E+00    37.294    21.248    19.061
   170.500    53.972    46.964    54.020    71.581   0.000E+00    37.294    21.248    19.061
   170.750    53.933    46.964    53.981    71.551   0.000E+00    37.294    21.248    19.061
   171.000    53.893    46.964    53.941    71.521   0.000E+00    37.294    21.248    19.061
   171.250    53.854    46.964    53.902    71.491   0.000E+00    37.294    21.248    19.061
   171.500    53.815    46.964    53.863    71.462   0.000E+00    37.294    21.248    19.061
   171.750    53.775    46.964    53.823    71.432   0.000E+00    37.294    21.248    19.061
   172.000    53.736    46.964    53.784    71.403   0.000E+00    37.294    21.248    19.061
   172.250    53.697    46.964    53.745    71.373   0.000E+00    37.294    21.248    19.061
   172.500    53.658    46.964    53.706    71.344   0.000E+00    37.294    21.248    19.061
   172.750    53.620    46.964    53.667    71.315   0.000E+00    37.294    21.248    19.061
   173.000    53.581    46.964    53.629    71.286   0.000E+00    37.294    21.248    19.061
   173.250    53.542    46.964    53.590    71.257   0.000E+00    37.294    21.248    19.061
   173.500    53.504    46.964    53.551    71.227   0.000E+00    37.294    21.248    19.061
   173.750    53.465    46.964    53.513    71.199   0.000E+00    37.294    21.248    19.061
   174.000    53.427    46.964    53.474    71.170   0.000E+00    37.294    21.248    19.061
   174.250    53.388    46.964    53.436    71.141   0.000E+00    37.294    21.248    19.061
   174.500    53.350    46.964    53.398    71.112   0.000E+00    37.294    21.248    19.061
   174.750    53.312    46.964    53.359    71.083   0.000E+00    37.294    21.248    19.061
   175.000    53.274    46.964    53.321    71.055   0.000E+00    37.294    21.248    19.061
   175.250    53.236    46.964    53.283    71.026   0.000E+00    37.294    21.248    19.061
   175.500    53.198    46.964    53.245    70.998   0.000E+00    37.294    21.248    19.061
   175.750    53.160    46.964    53.207    70.969   0.000E+00    37.294    21.248    19.061
   176.000    53.122    46.964    53.169    70.941   0.000E+00    37.294    21.248    19.061
   176.250    53.085    46.964    53.132    70.913   0.000E+00    37.294    21.248    19.061
   176.500    53.047    46.964    53.094    70.884   0.000E+00    37.294    21.248    19.061
   176.750    53.009    46.964    53.057    70.856   0.000E+00    37.294    21.248    19.061
   177.000    52.972    46.964    53.019    70.828   0.000E+00    37.294    21.248    19.061
   177.250    52.935    46.964    52.982    70.800   0.000E+00    37.294    21.248    19.061
   177.500    52.897    46.964    52.944    70.772   0.000E+00    37.294    21.248    19.061
   177.750    52.860    46.964    52.907    70.745   0.000E+00    37.294    21.248    19.061
   178.000    52.823    46.964    52.870    70.717   0.000E+00    37.294    21.248    19.061
   178.250    52.786    46.964    52.833    70.689   0.000E+00    37.294    21.248    19.061
   178.500    52.749    46.964    52.796    70.661   0.000E+00    37.294    21.248    19.061
   178.750    52.712    46.964    52.759    70.634   0.000E+00    37.294    21.248    19.061
   179.000    52.675    46.964    52.722    70.606   0.000E+00    37.294    21.248    19.061
   179.250    52.638    46.964    52.685    70.579   0.000E+00    37.294    21.248    19.061
   179.500    52.602    46.964    52.649    70.551   0.000E+00    37.294    21.248    19.061
   179.750    52.565    46.964    52.612    70.524   0.000E+00    37.294    21.248    19.061
   180.000    52.529    46.964    52.575    70.497   0.000E+00    37.294    21.248    19.061
   180.250    52.492    46.964    52.539    70.470   0.000E+00    37.294    21.248    19.061
   180.500    52.456    46.964    52.503    70.442   0.000E+00    37.294    21.248    19.061
   180.750    52.420    46.964    52.466    70.415   0.000E+00    37.294    21.248    19.061
   181.000    52.383    46.964    52.430    70.388   0.000E+00    37.294    21.248    19.061
   181.250    52.347    46.964    52.394    70.361   0.000E+00    37.294    21.248    19.061
   181.500    52.311    46.964    52.358    70.335   0.000E+00    37.294    21.248    19.061
   181.750    52.275    46.964    52.322    70.308   0.000E+00    37.294    21.248    19.061
   182.000    52.239    46.964    52.286    70.281   0.000E+00    37.294    21.248    19.061
   182.250    52.203    46.964    52.250    70.254   0.000E+00    37.294    21.248    19.061
   182.500    52.168    46.964    52.214    70.228   0.000E+00    37.294    21.248    19.061
   182.750    52.132    46.964    52.178    70.201   0.000E+00    37.294    21.248    19.061
